CCAA,Provincia,Tipo,Universidad,Modalidad,Centro,Título,Idioma extranjero,Nota
Andalucía,Cádiz,Pública,Universidad de Cádiz,Presencial,Centro de Magisterio Virgen de Europa,Grado en Educación Primaria,No,5
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Facultad de Filosofía y Letras,Grado en Estudios de Inglés y Catalán,No,5
Andalucía,Cádiz,Pública,Universidad de Cádiz,Presencial,Facultad de Ciencias del Mar y Ambientales,Doble Grado en CC Ambientales / Grado en CC del Mar,No,5
Cataluña,Barcelona,Pública,Universidad Pompeu Fabra,Presencial,Facultad de Humanidades,Grado en Humanidades,No,5
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Escuela de Ingeniería Informática,Grado en Ingeniería Informática,No,5
Andalucía,Cádiz,Pública,Universidad de Cádiz,Presencial,Facultad de Ciencias del Mar y Ambientales,Grado en Ciencias del Mar,No,5
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Facultad de Filología,Grado en Lenguas Modernas,Sí,5
Castilla y León,Valladolid,Pública,Universidad de Valladolid,Presencial,Facultad de Ciencias Económicas y Empresariales,Grado en Administración y Dirección de Empresas,No,5
Castilla y León,Segovia,Pública,Universidad de Valladolid,Presencial,"Facultad de Ciencias Sociales, Jurídicas y de la Comunicación",Grado en Administración y Dirección de Empresas,No,5
Andalucía,Córdoba,Pública,Universidad de Córdoba,Presencial,Facultad de Filosofía y Letras,Grado en Historia del Arte,No,5
Andalucía,Cádiz,Pública,Universidad de Cádiz,Presencial,"Escuela de Ingenierías Marina, Náutica y Radioelectrónica",Grado en Marina,No,5
Castilla y León,Soria,Pública,Universidad de Valladolid,Presencial,Facultad de Ciencias Empresariales y del Trabajo de Soria,Grado en Administración y Dirección de Empresas,No,5
Andalucía,Cádiz,Pública,Universidad de Cádiz,Presencial,Facultad de Ciencias del Mar y Ambientales,Grado en Ciencias Ambientales,No,5
Cataluña,Lleida,Pública,Universidad de Lleida,Presencial,Facultad de Letras,Doble Grado en Lenguas Aplicadas y Traducción / Grado en Filología Hispánica (Plan nuevo),Sí,5
Castilla y León,Valladolid,Pública,Universidad de Valladolid,Presencial,Facultad de Filosofía y Letras,Grado en Geografía y Planificación Territorial,No,5
Comunidad de Madrid,Madrid,Pública,Universidad Autónoma de Madrid,Presencial,Centro Superior de Estudios Universitarios La Salle,Grado en Terapia Ocupacional,No,5
Castilla y León,Segovia,Pública,Universidad de Valladolid,Presencial,"Facultad de Ciencias Sociales, Jurídicas y de la Comunicación",Grado en Turismo,No,5
Castilla y León,Palencia,Pública,Universidad de Valladolid,Presencial,Facultad de Educación de Palencia,Grado en Educación Social,No,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Escuela Aeronáutica Adventia (European College of Aeronautics),Grado en Piloto de Aviación Comercial y Operaciones Aéreas,Sí,5
Castilla y León,Valladolid,Pública,Universidad de Valladolid,Presencial,Facultad de Educación y Trabajo Social,Grado en Educación Social,No,5
Cataluña,Tarragona,Pública,Universidad Rovira i Virgili,Presencial,Facultad de Turismo y Geografía,Grado en Gestión en Turismo y Hotelería,No,5
Castilla y León,Valladolid,Pública,Universidad de Valladolid,Presencial,Facultad de Ciencias,Grado en Óptica y Optometría,No,5
Andalucía,Córdoba,Pública,Universidad de Córdoba,Presencial,Facultad de Filosofía y Letras,Grado en Traducción e Interpretación,No,5
Aragón,Teruel,Pública,Universidad de Zaragoza,Presencial,Escuela Universitaria Politécnica,Doble Grado en Ingeniería Informática / Grado en Administración y Dirección de Empresas,No,5
Castilla y León,Palencia,Pública,Universidad de Valladolid,Presencial,Facultad de Educación de Palencia,Grado en Educación Primaria,No,5
Castilla y León,Soria,Pública,Universidad de Valladolid,Presencial,Facultad de Educación de Soria,Grado en Educación Primaria,No,5
Cataluña,Tarragona,Pública,Universidad Rovira i Virgili,Presencial,Facultad de Letras,Grado en Inglés,Sí,5
Castilla y León,Segovia,Pública,Universidad de Valladolid,Presencial,"Facultad de Ciencias Sociales, Jurídicas y de la Comunicación",Grado en Comunicación Digital,No,5
Cataluña,Barcelona,Pública,Universidad Pompeu Fabra,Varias modalidades,Centro Universitario Tecnocampus,Grado en Medios Audiovisuales,No,5
Cataluña,Barcelona,Privada,Universidad de Vic,Varias modalidades,Facultad de Ciencias de la Salud y el Bienestar,Grado en Terapia Ocupacional,No,5
Baleares,Baleares,Pública,Universidad de las Illes Balears,Presencial,Escuela Politécnica Superior,Grado en Ingeniería Informática,No,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Traducción y Documentación,Grado en Traducción e Interpretación,Sí,5
Cataluña,Tarragona,Pública,Universidad Rovira i Virgili,Semi/No Presencial,Facultad de Letras,Grado en Antropología y Evolución Humana,No,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Geografía e Historia,Grado en Historia del Arte,No,5
Galicia,Pontevedra,Pública,Universidad de Vigo,Presencial,Facultad de Ciencias Económicas y Empresariales,Grado en Administración y Dirección de Empresas,No,5
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Escuela Universitaria de Enfermería y Terapia Ocupacional de Terrassa,Grado en Terapia Ocupacional,No,5
Cataluña,Tarragona,Pública,Universidad Rovira i Virgili,Presencial,Facultad de Letras,Grado en Lengua y Literatura Hispánicas,No,5
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Filología,Grado en Filología Clásica,No,5
Andalucía,Huelva,Pública,Universidad de Huelva,Presencial,"Facultad de Educación, Psicología y Ciencias del Deporte",Grado en Educación Social,No,5
Galicia,Pontevedra,Pública,Universidad de Vigo,Presencial,Facultad de Ciencias Económicas y Empresariales,Grado en Economía,No,5
Castilla y León,Palencia,Pública,Universidad de Valladolid,Presencial,Escuela Técnica Superior de Ingenierías Agrarias,Grado en Ciencias Gastronómicas,No,5
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Centro Universitario de Osuna,Grado en Relaciones Laborales y Recursos Humanos,No,5
Castilla y León,Ávila,Pública,Universidad de Salamanca,Presencial,Escuela Politécnica Superior de Ávila,Grado en Ingeniería de la Energía y Recursos Minerales,No,5
Castilla y León,Ávila,Pública,Universidad de Salamanca,Presencial,Escuela Politécnica Superior de Ávila,Grado en Ingeniería en Geoinformación y Geomática,No,5
Castilla y León,Valladolid,Pública,Universidad de Valladolid,Presencial,Escuela Técnica Superior de Ingenieros de Telecomunicación,Grado en Ingeniería de Tecnologías de la Telecomunicación,No,5
Andalucía,Almería,Pública,Universidad de Almería,Presencial,Facultad de Humanidades,Grado en Estudios Ingleses,Sí,5
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Escuela Técnica Superior de Ingeniería de Edificación,Grado en Edificación,No,5
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Escuela de Arquitectura,Grado en Arquitectura,No,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Ciencias Químicas,Grado en Química,No,5
Galicia,Ourense,Pública,Universidad de Vigo,Presencial,Facultad de Ciencias,Grado en Ciencia y Tecnología de los Alimentos,No,5
Castilla y León,León,Pública,Universidad de León,Presencial,Facultad de Ciencias Biológicas y Ambientales,Doble Grado en Ingeniería Forestal y del Medio natural / Ciencias Ambientales,No,5
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Facultad de Geografía e Historia,Grado en Historia,No,5
Cataluña,Barcelona,Pública,Universidad Pompeu Fabra,Varias modalidades,Centro Universitario Tecnocampus,Grado en Diseño y Producción de Videojuegos,No,5
Andalucía,Almería,Pública,Universidad de Almería,Presencial,Facultad de Ciencias Económicas y Empresariales,Grado en Finanzas y Contabilidad,Sí,5
Castilla y León,Segovia,Pública,Universidad de Valladolid,Presencial,"Facultad de Ciencias Sociales, Jurídicas y de la Comunicación",Grado en Derecho,No,5
Andalucía,Almería,Pública,Universidad de Almería,Presencial,Facultad de Ciencias Económicas y Empresariales,Grado en Economía,No,5
Andalucía,Huelva,Pública,Universidad de Huelva,Presencial,Facultad de Ciencias Empresariales y Turismo,Grado en Administración y Dirección de Empresas,No,5
Castilla y León,Soria,Pública,Universidad de Valladolid,Presencial,"Escuela de Ingeniería de la Industria Forestal, Agronómica y de la Bioenergía",Grado en Ingeniería Forestal: Industrias Forestales,No,5
Andalucía,Córdoba,Pública,Universidad de Córdoba,Presencial,Facultad de Ciencias,Grado en Química,No,5
Andalucía,Almería,Pública,Universidad de Almería,Presencial,Facultad de Derecho,Grado en Derecho,No,5
Castilla y León,Valladolid,Pública,Universidad de Valladolid,Presencial,Escuela de Ingenierías Industriales,Grado en Ingeniería Energética,No,5
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Facultad de Geografía e Historia,Grado en Geografía y Ordenación del Territorio,No,5
Andalucía,Huelva,Pública,Universidad de Huelva,Varias modalidades,Facultad de Humanidades,Grado en Gestión Cultural,No,5
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Presencial,Centro Universitario Euncet,Grado en Ciencias y Tecnologías Aplicadas al Deporte y al Acondicionamiento Físico,No,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Filología,Grado en Estudios Italianos,Sí,5
Castilla y León,León,Pública,Universidad de León,Presencial,"Escuela de Ingenierías Industrial, Informática y Aeroespacial",Grado en Ingeniería Eléctrica,No,5
Andalucía,Jaén,Pública,Universidad de Jaén,Presencial,Escuela Politécnica Superior (Linares),Doble Grado en Ingeniería de Recursos Energéticos / Grado en Ingeniería Química Industrial,No,5
Andalucía,Huelva,Pública,Universidad de Huelva,Presencial,Facultad de Ciencias Experimentales,Grado en Geología,No,5
Andalucía,Huelva,Pública,Universidad de Huelva,Presencial,Facultad de Ciencias Experimentales,Grado en Ciencias Ambientales,No,5
Castilla y León,León,Pública,Universidad de León,Presencial,Escuela Superior y Técnica de Ingenieros de Minas,Grado en Ingeniería Minera,No,5
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,"Facultad de Economía, Empresa y Turismo",Doble Grado en Administración y Dirección de Empresas / Grado en Derecho,No,5
Andalucía,Huelva,Pública,Universidad de Huelva,Presencial,Escuela Técnica Superior de Ingeniería,Grado en Ingeniería Energética,No,5
Castilla y León,León,Pública,Universidad de León,Presencial,Facultad de Ciencias Económicas y Empresariales,Grado en Economía,No,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Educación,Grado en Educación Social,No,5
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Facultad de Ciencias Empresariales,Grado en Análisis Económico,No,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Filología,Grado en Estudios de Asia Oriental,No,5
Andalucía,Huelva,Pública,Universidad de Huelva,Presencial,Escuela Técnica Superior de Ingeniería,Grado en Ingeniería en Explotación de Minas y Recursos Energéticos,No,5
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Centro Universitario San Isidoro,Grado en Administración y Dirección de Empresas,No,5
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Centro Universitario San Isidoro,Grado en Derecho,No,5
Castilla y León,Segovia,Pública,Universidad de Valladolid,Presencial,Escuela de Ingeniería Informática de Segovia,Grado en Ingeniería Informática de Servicios y Aplicaciones,No,5
Castilla y León,Palencia,Pública,Universidad de Valladolid,Presencial,Facultad de Educación de Palencia,Grado en Antropología Social y Cultural,No,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Geografía e Historia,Grado en Historia,No,5
Andalucía,Huelva,Pública,Universidad de Huelva,Presencial,Facultad de Ciencias Experimentales,Grado en Química,No,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Escuela Técnica Superior de Ingeniería Industrial,Grado en Ingeniería Eléctrica,No,5
Castilla y León,Zamora,Pública,Universidad de Salamanca,Presencial,Escuela Politécnica Superior de Zamora,Grado en Ingeniería Mecánica,No,5
Andalucía,Huelva,Pública,Universidad de Huelva,Presencial,Facultad de Ciencias Empresariales y Turismo,Grado en Finanzas y Contabilidad,No,5
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Facultad de Ciencias Sociales,Grado en Sociología,No,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Escuela Técnica Superior de Ingeniería Industrial,Grado en Ingeniería Mecánica,No,5
País Vasco,Álava,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Facultad de Letras,Grado en Historia del Arte,No,5
Comunidad de Madrid,Madrid,Pública,Universidad Complutense de Madrid,Presencial,Facultad de Geografía e Historia,Grado en Historia del Arte,No,5
Andalucía,Cádiz,Pública,Universidad de Cádiz,Presencial,Escuela Superior de Ingeniería,Grado en Ingeniería Electrónica Industrial,No,5
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Escuela Universitaria de Turismo ESERP,Grado en Criminología,No,5
Castilla y León,Valladolid,Pública,Universidad de Valladolid,Presencial,Escuela de Ingenierías Industriales,Grado en Ingeniería en Tecnologías Industriales,No,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Filología,Grado en Filología Hispánica,No,5
Cataluña,Lleida,Pública,Universidad de Lleida,Presencial,Facultad de Letras,Grado en Estudios Ingleses,Sí,5
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Varias modalidades,Centro Universitario Euncet,Doble Grado en Empresa. Innovación y Tecnología / Grado en Marketing. Innovación y Tecnología,No,5
Andalucía,Almería,Pública,Universidad de Almería,Presencial,Facultad de Derecho,Grado en Gestión y Administración Pública,No,5
Andalucía,Huelva,Pública,Universidad de Huelva,Presencial,Escuela Técnica Superior de Ingeniería,Grado en Ingeniería Informática,No,5
Cataluña,Barcelona,Pública,Universidad Rovira i Virgili,Presencial,Escuelas de Estudios Superiores ESIC,Grado en Dirección y Gestión de Empresas en el Ámbito Digital,Sí,5
Andalucía,Cádiz,Pública,Universidad de Cádiz,Presencial,"Escuela de Ingenierías Marina, Náutica y Radioelectrónica",Grado en Ingeniería Radioelectrónica,No,5
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Geografía e Historia,Doble Grado en Geografía y Gestión del Territorio / Grado en Historia,No,5
Cataluña,Lleida,Pública,Universidad de Lleida,Presencial,Facultad de Letras,Grado en Geografía,No,5
Castilla y León,Burgos,Pública,Universidad de Burgos,Presencial,Escuela Politécnica Superior,Grado en Ingeniería Agroalimentaria y del Medio Rural,No,5
País Vasco,Vizcaya,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Facultad de Economía y Empresa,Grado en Gestión de Negocios,No,5
Castilla y León,Burgos,Pública,Universidad de Burgos,Varias modalidades,Facultad de Humanidades y Comunicación,Grado en Español: Lengua y Literatura,No,5
